region,CLDliq_NHX,CLDliq_NHX_L_seas,CLDliq_SHX,CLDliq_T,CTP_NHX,CTP_NHX_L_seas,CTP_SHX,CTP_T,MSLP_NHX_DGM,MSLP_NHX_DGM_seas,MSLP_T_DGM,OLRC_NHX,OLRC_NHX_L_seas,OLRC_SHX,OLRC_T,OLR_NHX,OLR_NHX_L_seas,OLR_SHX,OLR_T,Precip_NHX_L,Precip_NHX_L_seas,Precip_T_L,RH_NHX@500,RH_NHX@500_seas,RH_SHX@500,RH_T@500,RSRC_NHX,RSRC_NHX_L_seas,RSRC_SHX,RSRC_T,RSR_NHX,RSR_NHX_L_seas,RSR_SHX,RSR_T,Reff_NHX,Reff_NHX_L_seas,Reff_SHX,Reff_T,T2m_NHX_L,T2m_NHX_L_seas,T2m_T_L,T_NHX@500,T_NHX@500_seas,T_SHX@500,T_T@500,netflux_global
RSR_SHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.270354637963138,-3.235575823955615,22.492672810974327,7.847371100041025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374452269411746,-1.17163876791321,7.847371100041025,2.9501185325288035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_NHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1261487348966069e-13,8.713728294115515e-14,-8.455926154793614e-14,-1.499783957913219e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_NHX_L_seas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.713728294115515e-14,9.935668101716646e-14,-7.483155598315141e-14,-1.3272486674400802e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_SHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.455926154793614e-14,-7.483155598315141e-14,9.607369995845158e-14,1.4768361771612365e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499783957913219e-13,-1.3272486674400802e-13,1.4768361771612365e-13,2.619388067523122e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2m_NHX_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.871877686441437,-0.1127337584731543,8.41072991023521,0.0,0.0,0.0,0.0,0.0
T2m_NHX_L_seas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127337584731543,0.3716283084506944,-0.0552508342568068,0.0,0.0,0.0,0.0,0.0
T2m_T_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41072991023521,-0.0552508342568068,9.066679491178508,0.0,0.0,0.0,0.0,0.0
T_NHX@500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632003311500528,0.0134681609852489,0.0356293815774572,0.0494217383540194,0.0
T_NHX@500_seas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134681609852489,0.1100846414438888,0.028725521736665,0.0026339695265881,0.0
T_SHX@500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356293815774572,0.028725521736665,0.0531012750406795,0.0413944644496036,0.0
T_T@500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494217383540194,0.0026339695265881,0.0413944644496036,0.0658586299131539,0.0
netflux_global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002
